Time(s)	C2H6	CH3J	C2H5J	CH4	HJ	C2H4	H2	C3H7J	C2H3J	C2H2	C4H7J	C4H7J	C4H6	
 0.39547E-20     0.90276E-05     0.16889E-22     0.44687E-25     0.14491E-37     0.44687E-25     0.85960E-38     0.10995E-37     0.38837E-69     0.10244E-59     0.32704E-72     0.16259-118     0.57641-117     0.39404E-97    
 0.11864E-19     0.90276E-05     0.50667E-22     0.13406E-24     0.78666E-37     0.13406E-24     0.46664E-37     0.59685E-37     0.85442E-68     0.84883E-59     0.36441E-71     0.86195-104     0.70862-116     0.16887E-96    
 0.27683E-19     0.90276E-05     0.11822E-21     0.31281E-24     0.38392E-36     0.31281E-24     0.22774E-36     0.29129E-36     0.16619E-66     0.72841E-58     0.55763E-70     0.83437-102     0.67992-114     0.13639E-95    
 0.59321E-19     0.90276E-05     0.25333E-21     0.67030E-24     0.16681E-35     0.67030E-24     0.98950E-36     0.12656E-35     0.37850E-65     0.72271E-57     0.13008E-68     0.92588-100     0.17624-111     0.68099E-94    
 0.12260E-18     0.90276E-05     0.52356E-21     0.13853E-23     0.70166E-35     0.13853E-23     0.41621E-35     0.53235E-35     0.66911E-64     0.62153E-56     0.22788E-67     0.66512E-98     0.24801-109     0.94895E-93    
 0.24915E-18     0.90276E-05     0.10640E-20     0.28153E-23     0.28823E-34     0.28153E-23     0.17097E-34     0.21868E-34     0.11224E-62     0.51482E-55     0.37928E-66     0.45498E-96     0.33786-107     0.15572E-91    
 0.50225E-18     0.90276E-05     0.21449E-20     0.56752E-23     0.11695E-33     0.56752E-23     0.69371E-34     0.88728E-34     0.18396E-61     0.41917E-54     0.61869E-65     0.30070E-94     0.44622-105     0.24940E-90    
 0.10085E-17     0.90276E-05     0.43067E-20     0.11395E-22     0.47124E-33     0.11395E-22     0.27953E-33     0.35753E-33     0.29799E-60     0.33839E-53     0.99977E-64     0.19574E-92     0.58085-103     0.39930E-89    
 0.20209E-17     0.90276E-05     0.86303E-20     0.22835E-22     0.18921E-32     0.22835E-22     0.11224E-32     0.14355E-32     0.47979E-59     0.27198E-52     0.16078E-62     0.12635E-90     0.74992-101     0.63896E-88    
 0.40457E-17     0.90276E-05     0.17277E-19     0.45715E-22     0.75828E-32     0.45715E-22     0.44981E-32     0.57532E-32     0.77010E-58     0.21810E-51     0.25792E-61     0.81222E-89     0.96414E-99     0.10224E-86    
 0.80953E-17     0.90276E-05     0.34572E-19     0.91474E-22     0.30361E-31     0.91474E-22     0.18010E-31     0.23035E-31     0.12341E-56     0.17469E-50     0.41321E-60     0.52097E-87     0.12369E-96     0.16358E-85    
 0.16195E-16     0.90276E-05     0.69160E-19     0.18299E-21     0.12150E-30     0.18299E-21     0.72073E-31     0.92184E-31     0.19762E-55     0.13984E-49     0.66158E-59     0.33379E-85     0.15850E-94     0.26173E-84    
 0.32393E-16     0.90276E-05     0.13834E-18     0.36603E-21     0.48612E-30     0.36603E-21     0.28836E-30     0.36883E-30     0.31631E-54     0.11191E-48     0.10589E-57     0.21375E-83     0.20299E-92     0.41877E-83    
 0.64790E-16     0.90276E-05     0.27669E-18     0.73211E-21     0.19447E-29     0.73211E-21     0.11536E-29     0.14755E-29     0.50621E-53     0.89538E-48     0.16945E-56     0.13684E-81     0.25990E-90     0.67004E-82    
 0.12958E-15     0.90276E-05     0.55340E-18     0.14643E-20     0.77794E-29     0.14643E-20     0.46147E-29     0.59023E-29     0.81001E-52     0.71637E-47     0.27115E-55     0.87589E-80     0.33272E-88     0.10721E-80    
 0.25917E-15     0.90276E-05     0.11068E-17     0.29286E-20     0.31119E-28     0.29286E-20     0.18459E-28     0.23610E-28     0.12961E-50     0.57312E-46     0.43386E-54     0.56062E-78     0.42592E-86     0.17154E-79    
 0.51835E-15     0.90276E-05     0.22137E-17     0.58572E-20     0.12448E-27     0.58572E-20     0.73838E-28     0.94441E-28     0.20738E-49     0.45852E-45     0.69421E-53     0.35882E-76     0.54521E-84     0.27447E-78    
 0.10367E-14     0.90276E-05     0.44273E-17     0.11714E-19     0.49791E-27     0.11714E-19     0.29535E-27     0.37777E-27     0.33181E-48     0.36684E-44     0.11108E-51     0.22966E-74     0.69793E-82     0.43920E-77    
 0.20734E-14     0.90276E-05     0.88547E-17     0.23429E-19     0.19916E-26     0.23429E-19     0.11814E-26     0.15111E-26     0.53090E-47     0.29351E-43     0.17775E-50     0.14700E-72     0.89345E-80     0.70290E-76    
 0.41468E-14     0.90276E-05     0.17709E-16     0.46858E-19     0.79666E-26     0.46858E-19     0.47257E-26     0.60443E-26     0.84944E-46     0.23486E-42     0.28446E-49     0.94102E-71     0.11439E-77     0.11255E-74    
 0.82936E-14     0.90276E-05     0.35419E-16     0.93715E-19     0.31866E-25     0.93715E-19     0.18903E-25     0.24177E-25     0.13591E-44     0.18797E-41     0.45534E-48     0.60252E-69     0.14648E-75     0.18077E-73    
 0.16587E-13     0.90276E-05     0.70838E-16     0.18743E-18     0.12747E-24     0.18743E-18     0.75611E-25     0.96709E-25     0.21745E-43     0.15052E-40     0.72918E-47     0.38596E-67     0.18767E-73     0.29665E-72    
 0.33175E-13     0.90276E-05     0.14168E-15     0.37486E-18     0.50986E-24     0.37486E-18     0.30245E-24     0.38684E-24     0.34792E-42     0.12063E-39     0.11687E-45     0.24746E-65     0.24064E-71     0.56516E-71    
 0.66349E-13     0.90276E-05     0.28335E-15     0.74972E-18     0.20395E-23     0.74972E-18     0.12098E-23     0.15473E-23     0.55666E-41     0.96855E-39     0.18765E-44     0.15894E-63     0.30912E-69     0.20529E-69    
 0.13270E-12     0.90276E-05     0.56670E-15     0.14995E-17     0.81578E-23     0.14994E-17     0.48391E-23     0.61894E-23     0.89059E-40     0.78045E-38     0.30231E-43     0.10245E-61     0.39849E-67     0.18052E-67    
